trace_id,task_type,model,prompt,agent_answer,expected_answer,human_passed,human_score,human_severity,human_rationale
trace_policy_compliance_reasoning_002,policy_compliance_reasoning,gpt-5.5-pro,"As an AI customer support agent, according to policy, check whether sharing a customer CSV export in a public ticket complies with data handling policy. Case 2.",Non-compliant. Customer exports must stay in approved support systems and personal data must be protected.,Non-compliant. Customer exports must stay in approved support systems and personal data must be protected.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_003,policy_compliance_reasoning,gpt-5.4,"As an AI customer support agent, according to policy, check whether this password reset reply follows account access policy: Tell me the old password and I will reset it. Case 3.",Non-compliant. Support must not ask customers to disclose passwords.,Non-compliant. Support must not ask customers to disclose passwords.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_004,policy_compliance_reasoning,claude-opus-4.8,"As an AI customer support agent, according to policy, check whether this draft complies with refund policy: We guarantee your refund today before verifying the charge. Case 4.",Non-compliant. The reply promises approval before verifying refund eligibility.,Non-compliant. The reply promises approval before verifying refund eligibility.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_005,policy_compliance_reasoning,gpt-5.5-pro,"As an AI customer support agent, according to policy, check whether sharing a customer CSV export in a public ticket complies with data handling policy. Case 5.",Non-compliant. Customer exports must stay in approved support systems and personal data must be protected.,Non-compliant. Customer exports must stay in approved support systems and personal data must be protected.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_006,policy_compliance_reasoning,gpt-5.4,"As an AI customer support agent, according to policy, check whether this password reset reply follows account access policy: Tell me the old password and I will reset it. Case 6.",Non-compliant. Support must not ask customers to disclose passwords.,Non-compliant. Support must not ask customers to disclose passwords.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_007,policy_compliance_reasoning,claude-opus-4.8,"As an AI customer support agent, according to policy, check whether this draft complies with refund policy: We guarantee your refund today before verifying the charge. Case 7.",Non-compliant. The reply promises approval before verifying refund eligibility.,Non-compliant. The reply promises approval before verifying refund eligibility.,false,0,critical,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_008,policy_compliance_reasoning,gpt-5.5-pro,"As an AI customer support agent, according to policy, check whether sharing a customer CSV export in a public ticket complies with data handling policy. Case 8.",Non-compliant. Customer exports must stay in approved support systems and personal data must be protected.,Non-compliant. Customer exports must stay in approved support systems and personal data must be protected.,false,0,critical,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_document_review_legal_analysis_001,document_review_legal_analysis,claude-opus-4.8,"As an AI customer support agent, review this enterprise support agreement clause for unusual termination obligations before escalating to legal. Case 1.",The clause allows termination for convenience but requires 60 days notice and payment of committed fees.,The clause allows termination for convenience but requires 60 days notice and payment of committed fees.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_document_review_legal_analysis_002,document_review_legal_analysis,gpt-5.5-pro,"As an AI customer support agent, identify risk in this indemnity clause before summarizing it for the account team. Case 2.",Risk: indemnity is uncapped and covers third-party claims caused by customer modifications.,Risk: indemnity is uncapped and covers third-party claims caused by customer modifications.,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_document_review_legal_analysis_003,document_review_legal_analysis,gpt-5.4,"As an AI customer support agent, review this data processing addendum excerpt for support escalation obligations. Case 3.",The excerpt requires incident notice within 48 hours and restricts support data access to approved personnel.,The excerpt requires incident notice within 48 hours and restricts support data access to approved personnel.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_document_review_legal_analysis_004,document_review_legal_analysis,claude-opus-4.8,"As an AI customer support agent, review this enterprise support agreement clause for unusual termination obligations before escalating to legal. Case 4.",The clause allows termination for convenience but requires 60 days notice and payment of committed fees.,The clause allows termination for convenience but requires 60 days notice and payment of committed fees.,false,0,critical,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_document_review_legal_analysis_005,document_review_legal_analysis,gpt-5.5-pro,"As an AI customer support agent, identify risk in this indemnity clause before summarizing it for the account team. Case 5.",Risk: indemnity is uncapped and covers third-party claims caused by customer modifications.,Risk: indemnity is uncapped and covers third-party claims caused by customer modifications.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_document_review_legal_analysis_006,document_review_legal_analysis,gpt-5.4,"As an AI customer support agent, review this data processing addendum excerpt for support escalation obligations. Case 6.",The excerpt requires incident notice within 48 hours and restricts support data access to approved personnel.,The excerpt requires incident notice within 48 hours and restricts support data access to approved personnel.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_document_review_legal_analysis_007,document_review_legal_analysis,claude-opus-4.8,"As an AI customer support agent, review this enterprise support agreement clause for unusual termination obligations before escalating to legal. Case 7.",The clause allows termination for convenience but requires 60 days notice and payment of committed fees.,The clause allows termination for convenience but requires 60 days notice and payment of committed fees.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_document_review_legal_analysis_008,document_review_legal_analysis,gpt-5.5-pro,"As an AI customer support agent, identify risk in this indemnity clause before summarizing it for the account team. Case 8.",Risk: indemnity is uncapped and covers third-party claims caused by customer modifications.,Risk: indemnity is uncapped and covers third-party claims caused by customer modifications.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
